time,cell_id,x,y,radius
0,0,-25,0,5
0,1,-20,0,5
0,2,-15,0,5
0,3,-10,0,5
0,4,-5,0,5
0,5,0,0,5
0,6,5,0,5
0,7,10,0,5
0,8,15,0,5
0,9,20,0,5
0,10,25,0,5
0.01,0,-26.0397,0,5
0.01,1,-20,0,5
0.01,2,-15,0,5
0.01,3,-10,0,5
0.01,4,-5,0,5
0.01,5,0,0,5
0.01,6,5,0,5
0.01,7,10,0,5
0.01,8,15,0,5
0.01,9,20,0,5
0.01,10,26.0397,0,5
0.02,0,-26.7961,0,5
0.02,1,-20.2834,0,5
0.02,2,-15,0,5
0.02,3,-10,0,5
0.02,4,-5,0,5
0.02,5,0,0,5
0.02,6,5,0,5
0.02,7,10,0,5
0.02,8,15,0,5
0.02,9,20.2834,0,5
0.02,10,26.7961,0,5
0.03,0,-27.4393,0,5
0.03,1,-20.5972,0,5
0.03,2,-15.0827,0,5
0.03,3,-10,0,5
0.03,4,-5,0,5
0.03,5,0,0,5
0.03,6,5,0,5
0.03,7,10,0,5
0.03,8,15.0827,0,5
0.03,9,20.5972,0,5
0.03,10,27.4393,0,5
0.04,0,-28.0085,0,5
0.04,1,-20.9207,0,5
0.04,2,-15.205,0,5
0.04,3,-10.0246,0,5
0.04,4,-5,0,5
0.04,5,0,0,5
0.04,6,5,0,5
0.04,7,10.0246,0,5
0.04,8,15.205,0,5
0.04,9,20.9207,0,5
0.04,10,28.0085,0,5
0.05,0,-28.5249,0,5
0.05,1,-21.2435,0,5
0.05,2,-15.3525,0,5
0.05,3,-10.0704,0,5
0.05,4,-5.00736,0,5
0.05,5,0,0,5
0.05,6,5.00736,0,5
0.05,7,10.0704,0,5
0.05,8,15.3525,0,5
0.05,9,21.2435,0,5
0.05,10,28.5249,0,5
0.06,0,-29.0008,0,5
0.06,1,-21.5613,0,5
0.06,2,-15.5162,0,5
0.06,3,-10.1339,0,5
0.06,4,-5.02395,0,5
0.06,5,0,0,5
0.06,6,5.02395,0,5
0.06,7,10.1339,0,5
0.06,8,15.5162,0,5
0.06,9,21.5613,0,5
0.06,10,29.0008,0,5
0.07,0,-29.4444,0,5
0.07,1,-21.8726,0,5
0.07,2,-15.6904,0,5
0.07,3,-10.2118,0,5
0.07,4,-5.04942,0,5
0.07,5,0,0,5
0.07,6,5.04942,0,5
0.07,7,10.2118,0,5
0.07,8,15.6904,0,5
0.07,9,21.8726,0,5
0.07,10,29.4444,0,5
0.08,0,-29.8617,0,5
0.08,1,-22.1768,0,5
0.08,2,-15.8716,0,5
0.08,3,-10.301,0,5
0.08,4,-5.08261,0,5
0.08,5,0,0,5
0.08,6,5.08261,0,5
0.08,7,10.301,0,5
0.08,8,15.8716,0,5
0.08,9,22.1768,0,5
0.08,10,29.8617,0,5
0.09,0,-30.2567,0,5
0.09,1,-22.4736,0,5
0.09,2,-16.0574,0,5
0.09,3,-10.399,0,5
0.09,4,-5.12215,0,5
0.09,5,0,0,5
0.09,6,5.12215,0,5
0.09,7,10.399,0,5
0.09,8,16.0574,0,5
0.09,9,22.4736,0,5
0.09,10,30.2567,0,5
0.1,0,-30.6326,0,5
0.1,1,-22.7633,0,5
0.1,2,-16.2459,0,5
0.1,3,-10.5037,0,5
0.1,4,-5.16677,0,5
0.1,5,0,0,5
0.1,6,5.16677,0,5
0.1,7,10.5037,0,5
0.1,8,16.2459,0,5
0.1,9,22.7633,0,5
0.1,10,30.6326,0,5
0.11,0,-30.992,0,5
0.11,1,-23.046,0,5
0.11,2,-16.4359,0,5
0.11,3,-10.6135,0,5
0.11,4,-5.21538,0,5
0.11,5,0,0,5
0.11,6,5.21538,0,5
0.11,7,10.6135,0,5
0.11,8,16.4359,0,5
0.11,9,23.046,0,5
0.11,10,30.992,0,5
0.12,0,-31.3369,0,5
0.12,1,-23.3221,0,5
0.12,2,-16.6262,0,5
0.12,3,-10.727,0,5
0.12,4,-5.26704,0,5
0.12,5,0,0,5
0.12,6,5.26704,0,5
0.12,7,10.727,0,5
0.12,8,16.6262,0,5
0.12,9,23.3221,0,5
0.12,10,31.3369,0,5
0.13,0,-31.6689,0,5
0.13,1,-23.5918,0,5
0.13,2,-16.8162,0,5
0.13,3,-10.8431,0,5
0.13,4,-5.32099,0,5
0.13,5,0,0,5
0.13,6,5.32099,0,5
0.13,7,10.8431,0,5
0.13,8,16.8162,0,5
0.13,9,23.5918,0,5
0.13,10,31.6689,0,5
0.14,0,-31.9892,0,5
0.14,1,-23.8554,0,5
0.14,2,-17.0053,0,5
0.14,3,-10.9608,0,5
0.14,4,-5.37663,0,5
0.14,5,0,0,5
0.14,6,5.37663,0,5
0.14,7,10.9608,0,5
0.14,8,17.0053,0,5
0.14,9,23.8554,0,5
0.14,10,31.9892,0,5
0.15,0,-32.299,0,5
0.15,1,-24.113,0,5
0.15,2,-17.193,0,5
0.15,3,-11.0796,0,5
